#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        13.538500
354        2        24        3        3,0,0        12.238000
570        3        19        7        7,0,0        12.184400
363        4        18        9        6,9,0        11.276500
189        5        15        12        5,12,0        11.435000
183        6        4        15        10,15,0        12.331400
345        7        5        18        13,18,0        11.274300
406        7        20        31        26,31,0        13.461400
438        7        32        23        17,23,0        12.507200
12        9        11        28        16,28,0        11.843700
111        9        4        27        20,27,0        12.357600
97        10        11        30        21,30,0        13.698700
252        12        9        36        29,36,0        10.799900
55        13        16        42        33,42,0        12.721400
61        14        1        45        34,45,0        11.892900
220        14        30        47        38,47,0        12.278400
316        15        25        49        40,49,0        10.742900
163        16        20        53        44,53,0        12.129100
328        17        19        55        48,55,0        11.245000
#Threshold 0.200000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Threshold 0.400000    20    0    24    0    24    21    21    0    21    22    0    24    24    0    24    24    17    23    0    23    21    0    17    0    0    24    25    24    22    22    25    0    19    18    0    22    0    23    0    21    0    19    0    21    18    0    23    23    21    0    0    0    21    0    24    
#Threshold 0.600000    0    0    1    0    3    0    0    0    0    1    0    4    2    0    1    0    0    1    0    1    0    0    1    0    0    0    1    0    1    0    0    0    1    1    0    1    0    0    0    0    0    1    0    1    1    0    0    1    0    0    0    0    0    0    1    
#Macrocel    #Threshold    #Rate[Hz]
1    0.200000    25    
2    -0.000000    0    
3    0.200000    25    
4    -0.000000    1    
5    0.200000    25    
6    0.200000    25    
7    0.200000    25    
8    -0.000000    0    
9    0.200000    25    
10    0.200000    25    
11    -0.000000    0    
12    0.200000    25    
13    0.200000    25    
14    -0.000000    0    
15    0.200000    25    
16    0.200000    25    
17    0.200000    25    
18    0.200000    25    
19    -0.000000    0    
20    0.200000    25    
21    0.200000    25    
22    -0.000000    0    
23    0.200000    25    
24    -0.000000    0    
25    -0.000000    0    
26    0.200000    25    
27    0.400000    21    
28    0.200000    25    
29    0.200000    25    
30    0.200000    24    
31    0.400000    22    
32    -0.000000    0    
33    0.200000    25    
34    0.200000    25    
35    -0.000000    0    
36    0.200000    25    
37    -0.000000    0    
38    0.200000    25    
39    -0.000000    0    
40    0.200000    25    
41    -0.000000    0    
42    0.200000    25    
43    -0.000000    0    
44    0.200000    25    
45    0.200000    25    
46    -0.000000    0    
47    0.200000    25    
48    0.200000    25    
49    0.200000    25    
50    -0.000000    0    
51    -0.000000    0    
52    -0.000000    0    
53    0.200000    25    
54    -0.000000    0    
55    0.200000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.230000    25    
2    0.030000    0    
3    0.230000    25    
4    0.030000    0    
5    0.230000    25    
6    0.230000    25    
7    0.230000    25    
8    0.030000    0    
9    0.230000    25    
10    0.230000    25    
11    0.030000    0    
12    0.230000    25    
13    0.230000    25    
14    0.030000    0    
15    0.230000    25    
16    0.230000    25    
17    0.230000    25    
18    0.230000    25    
19    0.030000    0    
20    0.230000    25    
21    0.230000    25    
22    0.030000    0    
23    0.230000    25    
24    0.030000    0    
25    0.030000    0    
26    0.230000    25    
27    0.430000    20    
28    0.230000    25    
29    0.230000    25    
30    0.230000    24    
31    0.430000    17    
32    0.030000    0    
33    0.230000    25    
34    0.230000    25    
35    0.030000    0    
36    0.230000    25    
37    0.030000    0    
38    0.230000    25    
39    0.030000    0    
40    0.230000    25    
41    0.030000    0    
42    0.230000    25    
43    0.030000    0    
44    0.230000    25    
45    0.230000    25    
46    0.030000    0    
47    0.230000    25    
48    0.230000    25    
49    0.230000    25    
50    0.030000    0    
51    0.030000    0    
52    0.030000    0    
53    0.230000    25    
54    0.030000    0    
55    0.230000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.260000    25    
2    0.060000    0    
3    0.260000    25    
4    0.060000    0    
5    0.260000    25    
6    0.260000    25    
7    0.260000    25    
8    0.060000    0    
9    0.260000    25    
10    0.260000    25    
11    0.060000    0    
12    0.260000    25    
13    0.260000    25    
14    0.060000    0    
15    0.260000    25    
16    0.260000    25    
17    0.260000    25    
18    0.260000    25    
19    0.060000    0    
20    0.260000    25    
21    0.260000    25    
22    0.060000    0    
23    0.260000    25    
24    0.060000    0    
25    0.060000    0    
26    0.260000    25    
27    0.460000    20    
28    0.260000    25    
29    0.260000    25    
30    0.260000    25    
31    0.460000    14    
32    0.060000    0    
33    0.260000    25    
34    0.260000    25    
35    0.060000    0    
36    0.260000    25    
37    0.060000    0    
38    0.260000    25    
39    0.060000    0    
40    0.260000    25    
41    0.060000    0    
42    0.260000    25    
43    0.060000    0    
44    0.260000    25    
45    0.260000    25    
46    0.060000    0    
47    0.260000    25    
48    0.260000    25    
49    0.260000    25    
50    0.060000    0    
51    0.060000    0    
52    0.060000    0    
53    0.260000    25    
54    0.060000    0    
55    0.260000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.290000    25    
2    0.090000    0    
3    0.290000    25    
4    0.090000    0    
5    0.290000    25    
6    0.290000    25    
7    0.290000    25    
8    0.090000    0    
9    0.290000    25    
10    0.290000    25    
11    0.090000    0    
12    0.290000    25    
13    0.290000    25    
14    0.090000    0    
15    0.290000    25    
16    0.290000    25    
17    0.290000    25    
18    0.290000    25    
19    0.090000    0    
20    0.290000    25    
21    0.290000    25    
22    0.090000    0    
23    0.290000    25    
24    0.090000    0    
25    0.090000    0    
26    0.290000    25    
27    0.490000    13    
28    0.290000    25    
29    0.290000    25    
30    0.290000    25    
31    0.490000    14    
32    0.090000    0    
33    0.290000    25    
34    0.290000    25    
35    0.090000    0    
36    0.290000    25    
37    0.090000    0    
38    0.290000    24    
39    0.090000    0    
40    0.290000    25    
41    0.090000    0    
42    0.290000    25    
43    0.090000    0    
44    0.290000    25    
45    0.290000    25    
46    0.090000    0    
47    0.290000    25    
48    0.290000    25    
49    0.290000    25    
50    0.090000    0    
51    0.090000    0    
52    0.090000    0    
53    0.290000    25    
54    0.090000    0    
55    0.290000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.320000    25    
2    0.120000    0    
3    0.320000    25    
4    0.120000    0    
5    0.320000    25    
6    0.320000    25    
7    0.320000    24    
8    0.120000    0    
9    0.320000    25    
10    0.320000    25    
11    0.120000    0    
12    0.320000    25    
13    0.320000    25    
14    0.120000    0    
15    0.320000    25    
16    0.320000    25    
17    0.320000    24    
18    0.320000    25    
19    0.120000    0    
20    0.320000    25    
21    0.320000    25    
22    0.120000    0    
23    0.320000    24    
24    0.120000    0    
25    0.120000    0    
26    0.320000    25    
27    0.520000    11    
28    0.320000    25    
29    0.320000    25    
30    0.320000    25    
31    0.520000    3    
32    0.120000    0    
33    0.320000    25    
34    0.320000    25    
35    0.120000    0    
36    0.320000    25    
37    0.120000    0    
38    0.320000    25    
39    0.120000    0    
40    0.320000    25    
41    0.120000    0    
42    0.320000    25    
43    0.120000    0    
44    0.320000    25    
45    0.320000    25    
46    0.120000    0    
47    0.320000    25    
48    0.320000    25    
49    0.320000    25    
50    0.120000    0    
51    0.120000    0    
52    0.120000    0    
53    0.320000    25    
54    0.120000    0    
55    0.320000    25    

#Macrocel    #Threshold    #Rate[Hz]
1    0.350000    25    
2    0.150000    0    
3    0.350000    25    
4    0.150000    0    
5    0.350000    25    
6    0.350000    23    
7    0.350000    24    
8    0.150000    0    
9    0.350000    24    
10    0.350000    25    
11    0.150000    0    
12    0.350000    25    
13    0.350000    25    
