#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
298        1        3        1        1,8,0        12.000000
142        2        4        3        3,11,0        12.000000
247        3        30        9        9,19,0        12.000000
286        3        1        7        7,14,0        12.000000
49        4        25        12        12,24,0        12.000000
43        5        32        15        15,22,0        12.000000
225        7        1        18        18,25,0        12.000000
115        8        19        27        27,35,0        12.000000
18        10        6        28        28,37,0        12.000000
93        10        28        30        30,39,0        12.000000
402        11        8        31        31,41,0        12.000000
378        12        13        36        36,43,0        12.000000
442        12        28        23        23,32,0        12.000000
207        13        20        42        42,46,0        12.000000
213        14        23        45        45,50,0        12.000000
396        15        18        47        47,51,0        12.000000
612        16        11        49        49,0,0        12.000000
387        17        8        53        53,0,0        12.000000
624        18        9        55        55,0,0        12.000000
#Threshold 0.200000    25    0    25    0    0    0    25    25    25    0    25    25    0    25    25    0    0    25    25    0    0    25    25    25    25    0    25    25    0    24    25    25    0    0    25    25    25    0    25    0    25    25    25    0    25    25    25    0    25    25    25    0    25    0    0    
#Threshold 0.400000    25    0    23    0    0    0    24    25    19    0    21    19    0    25    15    0    0    15    20    0    0    15    23    19    17    0    21    18    0    25    25    23    0    0    20    17    15    0    25    0    25    24    17    0    16    24    15    0    14    16    12    0    20    0    0    
#Threshold 0.600000    19    0    0    0    0    0    0    19    0    0    0    0    0    0    2    0    0    0    0    0    0    1    1    0    0    0    1    0    0    5    11    1    0    0    0    0    0    0    4    0    7    3    0    0    0    3    0    0    0    0    0    0    0    0    0    
#Threshold 0.800000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Macrocel    #Threshold    #Rate[Hz]
1    0.400000    25    
2    -0.000000    0    
3    0.200000    25    
4    -0.000000    0    
5    -0.000000    0    
6    -0.000000    0    
7    0.200000    25    
8    0.400000    25    
9    0.200000    25    
10    -0.000000    0    
11    0.200000    25    
12    0.200000    25    
13    -0.000000    0    
14    0.400000    23    
15    0.200000    23    
16    -0.000000    0    
17    -0.000000    0    
18    0.200000    25    
19    0.200000    25    
20    -0.000000    0    
21    -0.000000    0    
22    0.200000    23    
23    0.200000    25    
24    0.200000    25    
25    0.200000    25    
26    -0.000000    0    
27    0.200000    25    
28    0.200000    25    
29    -0.000000    0    
30    -0.000000    0    
31    0.400000    25    
32    0.200000    25    
33    -0.000000    2    
34    -0.000000    0    
35    0.200000    25    
36    0.200000    25    
37    0.200000    25    
38    -0.000000    0    
39    0.400000    25    
40    -0.000000    0    
41    0.400000    25    
42    0.200000    25    
43    0.200000    25    
44    -0.000000    0    
45    0.200000    25    
46    0.200000    25    
47    0.200000    25    
48    -0.000000    0    
49    0.200000    25    
50    0.200000    25    
51    0.200000    25    
52    -0.000000    0    
53    0.200000    25    
54    -0.000000    0    
55    -0.000000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.430000    25    
2    0.030000    0    
3    0.230000    25    
4    0.030000    0    
5    0.030000    0    
6    0.030000    0    
7    0.230000    25    
8    0.430000    25    
9    0.230000    25    
10    0.030000    0    
11    0.230000    25    
12    0.230000    25    
13    0.030000    0    
14    0.430000    17    
15    0.230000    24    
16    0.030000    0    
17    0.030000    0    
18    0.230000    25    
19    0.230000    25    
20    0.030000    0    
21    0.030000    0    
22    0.230000    24    
23    0.230000    25    
24    0.230000    25    
25    0.230000    25    
26    0.030000    0    
27    0.230000    25    
28    0.230000    25    
29    0.030000    0    
30    0.030000    25    
31    0.430000    23    
32    0.230000    25    
