#PIXEL  #BOARD  #CHANNEL  #MACROCELL L3  #ALL MACROCELLS  #ATTENUATION
431        1        17        6        6,0,0        12.000000
239        2        3        5        5,0,0        12.000000
437        4        10        17        17,0,0        12.000000
26        5        17        16        16,0,0        12.000000
98        6        17        21        21,0,0        12.000000
233        6        5        10        10,0,0        12.000000
407        7        21        26        26,0,0        12.000000
413        7        6        13        13,0,0        12.000000
20        9        28        34        34,0,0        12.000000
110        9        8        20        20,0,0        12.000000
32        10        8        33        33,0,0        12.000000
257        11        28        40        40,0,0        12.000000
251        12        8        29        29,0,0        12.000000
122        13        4        44        44,0,0        12.000000
221        14        27        38        38,0,0        12.000000
269        14        15        48        48,0,0        12.000000
455        17        13        52        52,0,0        12.000000
461        17        25        54        54,0,0        12.000000
#Threshold 0.200000    0    0    0    0    25    25    0    0    0    25    0    0    25    0    0    25    25    0    0    25    25    0    0    0    0    25    0    0    25    0    0    0    25    25    0    0    0    25    0    25    0    0    0    25    0    0    0    25    0    0    0    25    0    25    0    
#Threshold 0.400000    0    0    0    0    16    25    0    0    0    17    0    0    20    0    0    7    21    0    0    19    17    0    0    0    0    23    0    0    23    0    0    0    25    23    0    0    0    20    0    24    0    0    0    23    0    0    0    24    0    0    0    16    0    15    0    
#Threshold 0.600000    0    0    0    0    0    12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    2    1    0    0    0    1    0    1    0    0    0    0    0    0    0    4    0    0    0    0    0    0    0    
#Threshold 0.800000    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Macrocel    #Threshold    #Rate[Hz]
1    -0.000000    0    
2    -0.000000    0    
3    -0.000000    0    
4    -0.000000    0    
5    0.200000    25    
6    0.400000    25    
7    -0.000000    0    
8    -0.000000    0    
9    -0.000000    0    
10    0.200000    25    
11    -0.000000    0    
12    -0.000000    0    
13    0.200000    25    
14    -0.000000    0    
15    -0.000000    0    
16    0.200000    25    
17    0.200000    25    
18    -0.000000    0    
19    -0.000000    0    
20    0.200000    25    
21    0.200000    25    
22    -0.000000    0    
23    -0.000000    0    
24    -0.000000    0    
25    -0.000000    0    
26    0.200000    25    
27    -0.000000    0    
28    -0.000000    0    
29    0.200000    25    
30    -0.000000    0    
31    -0.000000    0    
32    -0.000000    0    
33    0.400000    25    
34    0.200000    25    
35    -0.000000    0    
36    -0.000000    0    
37    -0.000000    1    
38    0.200000    25    
39    -0.000000    0    
40    0.200000    25    
41    -0.000000    0    
42    -0.000000    0    
43    -0.000000    0    
44    0.200000    25    
45    -0.000000    0    
46    -0.000000    0    
47    -0.000000    0    
48    0.200000    25    
49    -0.000000    0    
50    -0.000000    0    
51    -0.000000    0    
52    0.200000    25    
53    -0.000000    0    
54    0.200000    25    
55    -0.000000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.030000    0    
2    0.030000    0    
3    0.030000    0    
4    0.030000    0    
5    0.230000    25    
6    0.430000    25    
7    0.030000    0    
8    0.030000    0    
9    0.030000    0    
10    0.230000    25    
11    0.030000    0    
12    0.030000    0    
13    0.230000    25    
14    0.030000    0    
15    0.030000    0    
16    0.230000    25    
17    0.230000    25    
18    0.030000    0    
19    0.030000    0    
20    0.230000    25    
21    0.230000    25    
22    0.030000    0    
23    0.030000    0    
24    0.030000    0    
25    0.030000    0    
26    0.230000    25    
27    0.030000    0    
28    0.030000    0    
29    0.230000    25    
