#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        12.960707
354        2        24        3        3,0,0        9.264744
570        3        19        7        7,0,0        11.238964
363        4        18        9        6,9,0        10.577564
189        5        15        12        5,12,0        8.207378
183        6        4        15        10,15,0        8.976837
345        7        5        18        13,18,0        10.095451
406        7        20        31        26,31,0        12.474405
438        7        32        23        17,23,0        9.542982
12        9        11        28        16,28,0        8.762535
111        9        4        27        20,27,0        11.221241
97        10        11        30        21,30,0        10.444353
252        12        9        36        29,36,0        7.828945
55        13        16        42        33,42,0        11.364899
61        14        1        45        34,45,0        8.909395
220        14        30        47        38,47,0        11.477486
316        15        25        49        40,49,0        7.760543
163        16        20        53        44,53,0        11.153027
328        17        19        55        48,55,0        8.188515
#Delay 1.500000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 1.643000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 1.786000    24    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 1.929000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.072000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.215000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    24    25    0    25    0    25    0    25    0    24    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.358000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.501000    24    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.644000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    24    25    25    25    25    0    24    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.787000    24    0    25    0    24    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    25    25    0    24    25    0    25    0    25    0    25    0    24    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Delay 2.930000    24    0    25    0    24    25    25    0    25    25    0    25    25    0    25    24    25    25    0    25    25    0    25    0    0    25    24    25    25    25    25    0    24    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    24    0    25    
