#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        13.232849
354        2        24        3        3,0,0        11.198256
570        3        19        7        7,0,0        11.640774
363        4        18        9        6,9,0        10.930010
189        5        15        12        5,12,0        8.482965
183        6        4        15        10,15,0        9.228199
345        7        5        18        13,18,0        10.457733
406        7        20        31        26,31,0        12.842714
438        7        32        23        17,23,0        11.340279
12        9        11        28        16,28,0        10.614376
111        9        4        27        20,27,0        11.651619
97        10        11        30        21,30,0        10.728188
252        12        9        36        29,36,0        9.690626
55        13        16        42        33,42,0        11.999325
61        14        1        45        34,45,0        10.508558
220        14        30        47        38,47,0        11.740627
316        15        25        49        40,49,0        9.541368
163        16        20        53        44,53,0        10.713146
328        17        19        55        48,55,0        7.912509
#Delay 1.500000    25    0    24    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    24    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    25    0    25    0    6    25    0    25    7    25    0    0    0    25    0    25    
#Delay 1.643000    24    0    24    0    25    25    25    0    25    25    0    25    25    0    25    24    25    25    0    25    24    0    25    0    0    25    25    25    25    25    25    0    25    25    0    25    0    25    0    24    0    25    0    3    25    0    23    3    24    0    0    0    25    0    25    
#Delay 1.786000    24    0    25    0    24    25    25    0    25    23    0    24    25    0    24    24    25    25    0    25    22    0    25    0    0    25    25    25    25    25    25    0    25    25    0    24    0    25    0    25    0    25    0    0    25    0    25    0    25    0    0    0    25    0    25    
#Delay 1.929000    24    0    24    0    24    25    25    0    25    25    0    24    25    0    25    23    25    25    0    25    23    0    25    0    0    25    25    25    25    25    25    0    25    25    0    24    0    25    0    25    0    25    0    0    25    0    23    1    25    0    0    0    25    0    25    
#Delay 2.072000    23    0    23    0    21    23    23    0    22    20    0    24    20    0    22    21    21    24    0    24    20    0    22    0    0    24    21    24    23    23    22    0    21    24    0    15    0    22    0    21    0    24    0    0    24    0    19    0    21    0    0    0    24    0    24    
#Delay 2.215000    21    0    20    0    17    19    22    0    19    14    0    23    22    0    17    17    22    23    0    21    13    0    22    0    0    24    19    25    23    25    17    0    17    23    0    17    0    22    0    22    0    22    0    0    23    0    18    0    20    0    0    0    25    0    25    
#Delay 2.358000    16    0    14    0    15    15    18    0    12    11    0    19    14    0    14    9    16    21    0    18    11    0    18    0    0    21    13    21    20    22    16    0    13    19    0    10    0    16    0    20    0    19    0    0    20    0    8    0    17    0    0    0    24    0    24    
#Delay 2.501000    12    0    5    0    6    9    11    0    4    6    0    18    8    0    7    3    12    12    0    13    7    0    16    0    0    18    10    20    15    23    6    0    9    14    0    4    0    13    0    13    0    16    0    0    14    0    4    0    10    0    0    0    25    0    25    
#Delay 2.644000    5    0    2    0    3    4    5    0    3    0    0    11    6    0    0    1    4    8    0    10    0    0    5    0    0    13    2    16    9    13    2    0    1    8    0    1    0    7    0    9    0    11    0    0    9    0    2    0    6    0    0    0    25    0    25    
#Delay 2.787000    3    0    2    0    1    2    3    0    1    1    0    7    3    0    1    2    3    6    0    5    1    0    5    0    0    6    1    7    4    11    0    0    2    9    0    0    0    2    0    8    0    9    0    0    10    0    1    0    5    0    0    0    25    0    25    
#Delay 2.930000    2    0    0    0    1    1    2    0    1    0    0    4    3    0    1    1    2    5    0    2    0    0    4    0    0    5    1    9    3    10    0    0    1    5    0    0    0    3    0    4    0    3    0    0    5    0    0    0    2    0    0    0    25    0    25    
#Delay 3.073000    1    0    1    0    1    0    0    0    0    0    0    2    0    0    0    1    1    1    0    2    0    0    1    0    0    1    1    2    2    6    1    0    0    1    0    0    0    2    0    4    0    1    0    0    1    0    0    0    1    0    0    0    25    0    25    
#Delay 3.216000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    3    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    25    0    25    
#Delay 3.359000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    23    0    24    
#Delay 3.502000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    23    0    19    
#Delay 3.645000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    16    0    13    
#Delay 3.788000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    13    0    5    
#Delay 3.931000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6    0    4    
#Delay 4.074000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    
#Delay 4.217000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    1    
#Delay 4.360000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 4.503000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 4.646000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 4.789000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Delay 4.932000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
