#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        14.000000
354        2        24        3        3,0,0        14.000000
570        3        19        7        7,0,0        14.000000
363        4        18        9        6,9,0        14.000000
189        5        15        12        5,12,0        14.000000
183        6        4        15        10,15,0        14.000000
345        7        5        18        13,18,0        14.000000
406        7        20        31        26,31,0        14.000000
438        7        32        23        17,23,0        14.000000
12        9        11        28        16,28,0        14.000000
111        9        4        27        20,27,0        14.000000
97        10        11        30        21,30,0        14.000000
252        12        9        36        29,36,0        14.000000
55        13        16        42        33,42,0        14.000000
61        14        1        45        34,45,0        14.000000
220        14        30        47        38,47,0        14.000000
316        15        25        49        40,49,0        14.000000
163        16        20        53        44,53,0        14.000000
328        17        19        55        48,55,0        14.000000
#Threshold 0.200000    25    0    25    0    25    25    25    0    25    25    0    25    25    0    25    25    25    25    0    25    25    0    25    0    0    25    25    25    25    23    25    0    25    25    0    25    0    25    0    25    0    25    0    25    25    0    25    25    25    0    0    0    25    0    25    
#Threshold 0.400000    19    0    7    0    23    2    25    0    2    11    0    23    20    0    12    2    25    20    0    25    18    0    25    0    0    20    25    5    19    18    21    0    15    23    0    17    0    3    0    15    0    14    0    7    23    0    4    25    13    0    0    0    6    0    25    
#Threshold 0.600000    0    0    0    0    0    0    4    0    0    0    0    0    1    0    0    0    4    0    0    2    0    0    5    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
#Macrocel    #Threshold    #Rate[Hz]
1    0.200000    25    
2    -0.000000    0    
3    0.200000    25    
4    -0.000000    0    
5    0.200000    25    
6    0.200000    25    
7    0.400000    25    
8    -0.000000    0    
9    0.200000    25    
10    0.200000    25    
11    -0.000000    0    
12    0.200000    25    
13    0.200000    25    
14    -0.000000    0    
15    0.200000    25    
16    0.200000    25    
17    0.400000    24    
18    0.200000    25    
19    -0.000000    0    
20    0.400000    22    
21    0.200000    25    
22    -0.000000    0    
23    0.400000    25    
24    -0.000000    0    
25    -0.000000    0    
26    0.200000    25    
27    0.400000    24    
28    0.200000    25    
29    0.200000    25    
30    -0.000000    1    
31    0.200000    25    
32    -0.000000    0    
33    0.200000    25    
34    0.200000    25    
35    -0.000000    0    
36    0.200000    25    
37    -0.000000    0    
38    0.200000    25    
39    -0.000000    0    
40    0.200000    25    
41    -0.000000    0    
42    0.200000    25    
43    -0.000000    0    
44    0.200000    25    
45    0.200000    25    
46    -0.000000    0    
47    0.200000    25    
48    0.400000    20    
49    0.200000    25    
50    -0.000000    0    
51    -0.000000    0    
52    -0.000000    0    
53    0.200000    25    
54    -0.000000    0    
55    0.400000    23    

#Macrocel    #Threshold    #Rate[Hz]
1    0.220000    25    
2    0.020000    0    
3    0.220000    25    
4    0.020000    0    
5    0.220000    25    
6    0.220000    25    
7    0.420000    23    
8    0.020000    0    
9    0.220000    25    
10    0.220000    25    
11    0.020000    0    
12    0.220000    25    
13    0.220000    25    
14    0.020000    0    
15    0.220000    25    
16    0.220000    25    
17    0.420000    25    
18    0.220000    25    
19    0.020000    0    
20    0.420000    24    
21    0.220000    25    
22    0.020000    0    
23    0.420000    25    
24    0.020000    0    
25    0.020000    0    
26    0.220000    25    
27    0.420000    24    
28    0.220000    25    
29    0.220000    25    
30    0.020000    25    
31    0.220000    25    
32    0.020000    0    
33    0.220000    25    
34    0.220000    25    
35    0.020000    0    
36    0.220000    25    
37    0.020000    0    
38    0.220000    25    
39    0.020000    0    
40    0.220000    25    
41    0.020000    0    
42    0.220000    25    
43    0.020000    0    
44    0.220000    25    
45    0.220000    25    
46    0.020000    0    
47    0.220000    25    
48    0.420000    23    
49    0.220000    25    
50    0.020000    0    
51    0.020000    0    
52    0.020000    0    
53    0.220000    25    
54    0.020000    0    
55    0.420000    24    

#Macrocel    #Threshold    #Rate[Hz]
1    0.240000    25    
2    0.040000    0    
3    0.240000    25    
4    0.040000    0    
5    0.240000    25    
6    0.240000    24    
7    0.440000    24    
8    0.040000    0    
9    0.240000    24    
10    0.240000    25    
11    0.040000    0    
12    0.240000    25    
13    0.240000    25    
14    0.040000    0    
15    0.240000    25    
16    0.240000    23    
17    0.440000    23    
18    0.240000    25    
19    0.040000    0    
20    0.440000    22    
21    0.240000    25    
22    0.040000    0    
23    0.440000    24    
24    0.040000    0    
25    0.040000    0    
26    0.240000    25    
27    0.440000    22    
28    0.240000    24    
29    0.240000    25    
30    0.040000    24    
31    0.240000    25    
32    0.040000    0    
33    0.240000    25    
34    0.240000    25    
35    0.040000    0    
36    0.240000    25    
37    0.040000    0    
38    0.240000    25    
39    0.040000    0    
40    0.240000    25    
41    0.040000    0    
42    0.240000    25    
43    0.040000    0    
44    0.240000    25    
45    0.240000    25    
46    0.040000    0    
47    0.240000    25    
48    0.440000    17    
49    0.240000    25    
50    0.040000    0    
51    0.040000    0    
52    0.040000    0    
53    0.240000    25    
54    0.040000    0    
55    0.440000    18    

#Macrocel    #Threshold    #Rate[Hz]
1    0.260000    25    
2    0.060000    0    
3    0.260000    25    
4    0.060000    0    
5    0.260000    25    
6    0.260000    23    
7    0.460000    20    
8    0.060000    0    
9    0.260000    24    
10    0.260000    25    
11    0.060000    0    
12    0.260000    25    
13    0.260000    25    
14    0.060000    0    
15    0.260000    25    
16    0.260000    22    
17    0.460000    23    
18    0.260000    25    
19    0.060000    0    
20    0.460000    23    
21    0.260000    25    
22    0.060000    0    
23    0.460000    23    
24    0.060000    0    
25    0.060000    0    
26    0.260000    25    
27    0.460000    23    
28    0.260000    24    
29    0.260000    25    
30    0.060000    26    
31    0.260000    25    
32    0.060000    0    
33    0.260000    25    
34    0.260000    25    
35    0.060000    0    
36    0.260000    25    
37    0.060000    0    
38    0.260000    25    
39    0.060000    0    
40    0.260000    25    
41    0.060000    0    
42    0.260000    25    
43    0.060000    0    
44    0.260000    25    
45    0.260000    25    
46    0.060000    0    
47    0.260000    25    
48    0.460000    16    
49    0.260000    25    
50    0.060000    0    
51    0.060000    0    
52    0.060000    0    
53    0.260000    25    
54    0.060000    0    
55    0.460000    16    

#Macrocel    #Threshold    #Rate[Hz]
1    0.280000    24    
2    0.080000    0    
3    0.280000    25    
4    0.080000    0    
5    0.280000    25    
6    0.280000    21    
7    0.480000    24    
8    0.080000    0    
9    0.280000    21    
10    0.280000    25    
11    0.080000    0    
12    0.280000    25    
13    0.280000    25    
14    0.080000    0    
15    0.280000    25    
16    0.280000    22    
17    0.480000    21    
18    0.280000    25    
19    0.080000    0    
20    0.480000    19    
21    0.280000    25    
22    0.080000    0    
23    0.480000    21    
24    0.080000    0    
25    0.080000    0    
26    0.280000    25    
27    0.480000    20    
28    0.280000    23    
29    0.280000    25    
30    0.080000    25    
31    0.280000    25    
32    0.080000    0    
33    0.280000    25    
34    0.280000    25    
35    0.080000    0    
36    0.280000    25    
37    0.080000    0    
38    0.280000    23    
39    0.080000    0    
40    0.280000    25    
41    0.080000    0    
42    0.280000    25    
43    0.080000    0    
44    0.280000    25    
45    0.280000    25    
46    0.080000    0    
47    0.280000    23    
48    0.480000    10    
49    0.280000    25    
50    0.080000    0    
51    0.080000    0    
52    0.080000    0    
53    0.280000    25    
54    0.080000    0    
55    0.480000    13    

#Macrocel    #Threshold    #Rate[Hz]
1    0.300000    24    
2    0.100000    0    
3    0.300000    23    
4    0.100000    0    
5    0.300000    25    
6    0.300000    13    
7    0.500000    20    
8    0.100000    0    
9    0.300000    14    
10    0.300000    21    
11    0.100000    0    
12    0.300000    25    
13    0.300000    25    
