#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
582        1        25        1        1,0,0        14.000000
354        2        24        3        3,0,0        14.000000
570        3        19        7        7,0,0        14.000000
363        4        18        9        6,9,0        14.000000
189        5        15        12        5,12,0        14.000000
183        6        4        15        10,15,0        14.000000
345        7        5        18        13,18,0        14.000000
406        7        20        31        26,31,0        14.000000
438        7        32        23        17,23,0        14.000000
12        9        11        28        16,28,0        14.000000
111        9        4        27        20,27,0        14.000000
97        10        11        30        21,30,0        14.000000
252        12        9        36        29,36,0        14.000000
55        13        16        42        33,42,0        14.000000
61        14        1        45        34,45,0        14.000000
220        14        30        47        38,47,0        14.000000
316        15        25        49        40,49,0        14.000000
163        16        20        53        44,53,0        14.000000
328        17        19        55        48,55,0        14.000000
#Delay 0.010000    17    0    22    0    25    14    24    0    14    25    0    25    25    0    25    18    25    25    0    21    25    0    25    0    0    25    23    22    20    25    25    0    25    24    0    17    0    25    0    15    0    25    0    23    23    0    25    24    14    0    0    0    23    0    24    
#Delay 0.510000    18    0    24    0    22    17    22    0    17    24    0    23    19    0    24    22    22    19    0    23    24    0    22    0    0    24    23    23    20    24    24    0    24    20    0    20    0    23    0    16    0    24    0    23    20    0    23    21    16    0    0    0    23    0    21    
#Delay 1.010000    22    0    25    0    24    21    25    0    22    25    0    24    22    0    25    22    24    22    0    25    25    0    25    0    0    25    25    24    19    25    25    0    25    25    0    17    0    25    0    12    0    25    0    25    23    0    25    24    12    0    0    0    25    0    24    
#Delay 1.510000    20    0    24    0    24    19    24    0    22    24    0    24    23    0    24    22    23    23    0    24    24    0    23    0    0    24    24    23    16    24    24    0    24    23    0    14    0    24    0    10    0    24    0    23    23    0    24    22    10    0    0    0    20    0    22    
#Delay 2.010000    20    0    25    0    24    20    24    0    20    25    0    24    21    0    25    24    23    21    0    24    25    0    24    0    0    25    24    24    21    25    25    0    25    25    0    21    0    24    0    14    0    25    0    25    23    0    24    25    14    0    0    0    25    0    25    
#Delay 2.510000    18    0    25    0    24    7    24    0    7    25    0    25    21    0    25    22    24    21    0    24    25    0    24    0    0    25    24    24    21    25    25    0    25    22    0    18    0    23    0    15    0    25    0    23    20    0    21    22    15    0    0    0    23    0    22    
#Delay 3.010000    2    0    24    0    22    0    15    0    0    25    0    22    16    0    25    19    23    22    0    22    25    0    23    0    0    23    21    23    15    25    23    0    23    23    0    14    0    12    0    3    0    24    0    15    22    0    7    24    3    0    0    0    21    0    24    
#Delay 3.510000    0    0    21    0    25    0    2    0    0    25    0    25    10    0    25    22    22    12    0    6    24    0    23    0    0    19    3    22    18    24    12    0    16    24    0    13    0    0    0    14    0    22    0    6    24    0    0    21    14    0    0    0    20    0    23    
#Delay 4.010000    0    0    19    0    21    0    0    0    0    25    0    24    2    0    25    10    19    7    0    2    25    0    19    0    0    2    2    22    3    25    1    0    5    20    0    1    0    0    0    5    0    7    0    1    19    0    0    18    5    0    0    0    24    0    22    
#Delay 4.510000    0    0    7    0    19    0    0    0    0    25    0    20    0    0    25    4    5    0    0    0    25    0    5    0    0    2    0    11    7    25    0    0    0    13    0    2    0    0    0    2    0    2    0    0    9    0    0    16    2    0    0    0    24    0    24    
#Delay 5.010000    0    0    0    0    2    0    0    0    0    16    0    4    0    0    23    0    0    0    0    0    17    0    2    0    0    0    0    4    0    25    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6    0    0    0    0    23    0    24    
#Delay 5.510000    0    0    0    0    0    0    0    0    0    5    0    2    0    0    9    0    0    0    0    0    2    0    0    0    0    0    0    0    0    9    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    12    0    22    
#Delay 6.010000    0    0    0    0    0    0    0    0    0    3    0    0    0    0    4    0    0    0    0    0    2    0    0    0    0    0    0    0    0    11    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    10    0    24    
#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
501        1        19        1        1,2,0        14.000000
353        2        23        3        3,4,0        14.000000
569        3        18        7        7,0,0        14.000000
300        4        12        9        6,8,9        14.000000
144        5        14        12        5,11,12        14.000000
182        6        10        15        10,14,15        14.000000
344        7        11        18        13,18,0        14.000000
369        7        28        23        17,19,23        14.000000
78        8        30        27        20,24,27        14.000000
11        9        12        28        16,22,28        14.000000
133        10        15        30        21,25,30        14.000000
478        11        14        31        26,31,0        14.000000
201        12        3        36        29,35,36        14.000000
56        13        11        42        33,37,42        14.000000
91        14        2        45        34,39,45        14.000000
274        15        3        47        38,41,47        14.000000
317        15        26        49        40,46,49        14.000000
211        16        21        53        44,50,53        14.000000
394        17        23        55        48,51,55        14.000000
#Delay 0.010000    21    22    19    19    20    25    20    25    25    15    20    21    25    17    15    24    25    24    25    17    22    24    25    17    22    25    18    24    25    21    25    0    24    0    25    25    24    24    0    17    24    24    0    19    0    17    24    21    17    18    21    0    18    0    22    
#Delay 0.510000    24    25    23    23    17    25    18    25    25    21    17    17    25    22    19    25    25    25    25    20    21    25    25    19    21    21    21    25    25    21    21    0    25    0    25    25    25    22    0    13    22    25    0    24    0    13    23    24    10    21    24    0    21    0    24    
#Delay 1.010000    18    20    25    25    21    25    20    25    25    19    21    22    25    21    19    24    25    25    25    19    25    24    25    19    25    21    22    24    25    25    21    0    25    0    24    24    25    24    0    18    24    25    0    24    0    18    24    23    17    23    23    0    23    0    24    
#Delay 1.510000    21    23    25    25    22    23    18    24    24    20    22    22    23    23    20    24    25    23    25    21    24    24    25    20    24    25    23    25    24    24    25    0    25    0    24    24    25    23    0    24    23    25    0    24    0    24    24    20    21    24    20    0    24    0    22    
#Delay 2.010000    24    24    22    22    22    25    18    25    25    21    22    22    25    21    21    25    25    25    25    19    25    25    25    19    25    25    19    25    25    25    25    0    24    0    25    25    24    25    0    22    25    24    0    23    0    20    25    24    17    23    24    0    23    0    24    
#Delay 2.510000    21    21    20    20    20    25    14    25    25    16    20    20    23    21    14    24    24    23    24    18    23    24    24    16    23    21    21    24    24    23    21    0    25    0    23    22    23    25    0    11    25    23    0    23    0    10    25    22    9    20    22    0    20    0    24    
#Delay 3.010000    18    20    23    22    14    22    2    22    18    4    14    14    23    9    4    23    24    24    24    16    19    24    24    12    19    18    13    24    23    19    13    0    24    0    21    18    24    23    0    5    23    24    0    21    0    1    23    23    1    21    22    0    18    0    23    
#Delay 3.510000    10    14    7    4    5    3    0    3    2    0    10    10    16    2    0    12    25    18    25    2    21    15    25    0    21    2    0    19    3    21    0    0    22    0    0    0    21    23    0    0    23    22    0    12    0    0    23    13    0    11    0    0    14    0    21    
#Delay 4.010000    2    10    6    6    0    1    0    1    1    0    2    2    1    0    0    6    25    5    25    2    23    6    25    0    23    1    0    9    0    23    0    0    25    0    0    0    24    23    0    1    24    24    0    9    0    1    24    6    1    6    1    0    22    0    20    
#Delay 4.510000    2    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    25    0    25    0    24    0    25    0    25    0    0    0    0    25    0    0    21    0    0    0    22    24    0    0    24    19    0    4    0    0    24    0    0    0    0    0    22    0    22    
#Delay 5.010000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    23    0    17    0    13    0    23    0    17    0    0    0    0    22    0    0    11    0    0    0    11    23    0    0    21    9    0    0    0    0    22    0    0    0    0    0    20    0    21    
#Delay 5.510000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    20    0    7    0    6    0    14    0    12    0    0    0    0    15    0    0    0    0    0    0    0    12    0    0    5    0    0    0    0    0    5    0    0    0    0    0    21    0    22    
#Delay 6.010000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6    0    0    0    0    0    4    0    1    0    0    0    0    3    0    0    0    0    0    0    0    4    0    0    2    0    0    0    0    0    2    0    0    0    0    0    15    0    9    
#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
426        1        10        1        1,2,0        14.000000
352        2        22        3        3,4,0        14.000000
568        3        17        7        7,0,0        14.000000
243        4        5        9        8,9,0        14.000000
105        5        13        12        11,12,0        14.000000
181        6        15        15        14,15,0        14.000000
306        7        25        23        19,23,0        14.000000
343        7        16        18        18,0,0        14.000000
51        8        24        27        24,27,0        14.000000
10        9        13        28        22,28,0        14.000000
175        10        20        30        25,30,0        14.000000
156        11        30        36        35,36,0        14.000000
556        11        19        31        31,0,0        14.000000
57        13        6        42        37,42,0        14.000000
127        14        3        45        39,45,0        14.000000
318        15        27        49        46,49,0        14.000000
334        15        9        47        41,47,0        14.000000
265        16        22        53        50,53,0        14.000000
466        17        24        55        51,55,0        14.000000
#Delay 0.010000    19    21    21    21    0    0    22    22    23    0    0    0    0    23    22    0    0    24    25    0    0    23    25    24    25    0    25    23    0    25    21    0    0    0    24    24    16    0    22    0    21    15    0    0    22    25    21    0    25    23    25    0    21    0    25    
#Delay 0.510000    21    22    23    23    0    0    20    21    22    0    0    0    0    23    23    0    0    25    25    0    0    25    25    25    25    0    25    25    0    25    24    0    0    0    22    20    21    0    21    0    21    21    0    0    21    21    21    0    21    16    25    0    16    0    25    
#Delay 1.010000    25    25    23    22    0    0    21    23    23    0    0    0    0    25    25    0    0    24    21    0    0    25    21    25    24    0    25    25    0    24    25    0    0    0    24    24    23    0    20    0    21    23    0    0    20    23    21    0    23    22    25    0    22    0    25    
#Delay 1.510000    25    25    22    22    0    0    19    23    23    0    0    0    0    25    25    0    0    25    20    0    0    25    20    25    25    0    25    25    0    25    25    0    0    0    23    22    22    0    22    0    24    22    0    0    22    25    24    0    24    19    24    0    18    0    24    
#Delay 2.010000    24    24    22    22    0    0    22    19    19    0    0    0    0    25    25    0    0    24    23    0    0    24    23    25    25    0    25    24    0    25    24    0    0    0    17    8    23    0    23    0    21    22    0    0    23    22    21    0    22    17    25    0    18    0    25    
#Delay 2.510000    13    23    22    20    0    0    13    22    22    0    0    0    0    23    23    0    0    24    23    0    0    23    23    24    20    0    24    23    0    20    21    0    0    0    3    1    19    0    24    0    19    19    0    0    24    22    19    0    22    9    23    0    20    0    23    
#Delay 3.010000    2    7    17    17    0    0    7    18    18    0    0    0    0    22    21    0    0    24    20    0    0    24    20    24    8    0    24    24    0    8    19    0    0    0    2    0    19    0    21    0    18    18    0    0    21    21    18    0    21    2    19    0    15    0    24    
#Delay 3.510000    0    0    18    18    0    0    0    16    16    0    0    0    0    17    4    0    0    21    14    0    0    24    18    24    0    0    24    24    0    0    17    0    0    0    0    0    20    0    13    0    19    16    0    0    20    23    20    0    23    0    7    0    16    0    23    
#Delay 4.010000    0    0    22    21    0    0    2    10    8    0    0    0    0    4    4    0    0    10    7    0    0    19    17    25    3    0    25    19    0    3    21    0    0    0    0    0    20    0    6    0    20    17    0    0    12    23    20    0    23    0    6    0    11    0    25    
#Delay 4.510000    0    0    16    14    0    0    0    4    4    0    0    0    0    0    0    0    0    4    0    0    0    12    0    25    0    0    25    16    0    0    19    0    0    0    0    0    8    0    0    0    10    6    0    0    0    15    10    0    16    0    0    0    10    0    24    
#Delay 5.010000    0    0    9    6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    21    0    0    23    4    0    0    9    0    0    0    0    0    2    0    0    0    1    2    0    0    0    4    5    0    5    0    0    0    12    0    25    
#Delay 5.510000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    13    0    0    18    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4    0    25    
#Delay 6.010000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    16    
#PIXEL  #BOARD  #CHANNEL  #MACROCELL L1  #ALL MACROCELLS  #ATTENUATION
355        1        15        3        2,3,0        14.000000
583        1        26        1        1,0,0        14.000000
491        3        14        7        4,7,0        14.000000
364        4        19        9        6,9,0        14.000000
140        5        30        15        10,11,15        14.000000
190        5        11        12        5,8,12        14.000000
284        6        30        18        13,14,18        14.000000
514        8        3        23        17,23,0        14.000000
13        9        16        28        16,24,28        14.000000
151        9        5        27        19,20,27        14.000000
66        10        10        30        21,22,30        14.000000
339        11        7        31        25,26,31        14.000000
310        12        16        36        29,32,36        14.000000
83        13        23        42        33,35,42        14.000000
60        14        5        45        34,37,45        14.000000
171        14        29        47        38,39,47        14.000000
380        15        28        49        40,43,49        14.000000
209        16        24        53        44,46,53        14.000000
327        17        18        55        48,50,55        14.000000
#Delay 0.010000    25    24    24    25    23    21    25    23    21    23    23    23    24    24    24    24    25    24    20    20    19    19    25    23    23    23    21    25    25    19    23    25    23    18    24    25    14    25    25    25    0    23    25    24    17    24    25    23    24    23    0    0    24    0    23    
#Delay 0.510000    25    25    25    24    23    24    24    22    25    24    24    23    24    24    24    22    25    20    18    18    21    21    25    22    25    25    20    24    25    21    25    25    18    17    18    25    13    24    24    23    0    16    23    25    13    25    25    20    23    20    0    0    24    0    20    
#Delay 1.010000    25    25    25    22    25    21    23    25    24    25    25    25    20    22    25    25    25    18    21    21    24    24    25    25    25    25    21    25    25    24    25    25    22    18    23    25    18    25    24    25    0    21    25    25    18    24    25    23    25    23    0    0    25    0    23    
#Delay 1.510000    23    25    25    22    23    22    22    23    22    24    24    23    19    23    25    25    25    18    21    21    22    22    25    25    25    25    23    25    25    22    25    25    22    22    23    25    20    23    23    22    0    20    22    23    20    21    23    15    22    15    0    0    22    0    15    
