#Macrocell     #Threshold [V]
1          0.010000
2          0.010000
3          0.010000
4          0.010000
5          0.010000
6          0.010000
7          0.010000
8          0.010000
9          0.010000
10          0.010000
11          0.010000
12          0.010000
13          0.010000
14          0.010000
15          0.010000
16          0.010000
17          0.010000
18          0.010000
19          0.010000
20          0.010000
21          0.010000
22          0.010000
23          0.010000
24          0.010000
25          0.010000
26          0.010000
27          0.010000
28          0.010000
29          0.010000
30          0.010000
31          0.010000
32          0.010000
33          0.010000
34          0.010000
35          0.010000
36          0.010000
37          0.010000
38          0.010000
39          0.010000
40          0.010000
41          0.010000
42          0.010000
43          0.010000
44          0.010000
45          0.010000
46          0.010000
47          0.010000
48          0.010000
49          0.010000
50          0.010000
51          0.010000
52          0.010000
53          0.010000
54          0.010000
55          0.010000
#Macrocell     #Rates [Hz]
1          2147483648.000000
2          2147483648.000000
3          21667000.000000
4          21667332.000000
5          21667332.000000
6          21667000.000000
7          21667332.000000
8          21667000.000000
9          21667332.000000
10          21667000.000000
11          21667332.000000
12          21667000.000000
13          21667666.000000
14          21667000.000000
15          21667000.000000
16          21666666.000000
17          21667666.000000
18          21667000.000000
19          21667000.000000
20          21667000.000000
21          21667000.000000
22          21667666.000000
23          21667000.000000
24          21667666.000000
25          21667332.000000
26          21667000.000000
27          21666666.000000
28          21666666.000000
29          21667332.000000
30          21666666.000000
31          21666666.000000
32          21667000.000000
33          21667000.000000
34          20984000.000000
35          21667666.000000
36          21666666.000000
37          21668000.000000
38          21666666.000000
39          21666666.000000
40          21667332.000000
41          21666666.000000
42          21666666.000000
43          21666666.000000
44          21667000.000000
45          21666666.000000
46          21667000.000000
47          21667000.000000
48          21667332.000000
49          21667332.000000
50          21667332.000000
51          21666666.000000
52          21667000.000000
53          21667332.000000
54          21666666.000000
55          21666666.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.011885
2          0.011885
3          0.011885
4          0.011885
5          0.011885
6          0.011885
7          0.011885
8          0.011885
9          0.011885
10          0.011885
11          0.011885
12          0.011885
13          0.011885
14          0.011885
15          0.011885
16          0.011885
17          0.011885
18          0.011885
19          0.011885
20          0.011885
21          0.011885
22          0.011885
23          0.011885
24          0.011885
25          0.011885
26          0.011885
27          0.011885
28          0.011885
29          0.011885
30          0.011885
31          0.011885
32          0.011885
33          0.011885
34          0.011885
35          0.011885
36          0.011885
37          0.011885
38          0.011885
39          0.011885
40          0.011885
41          0.011885
42          0.011885
43          0.011885
44          0.011885
45          0.011885
46          0.011885
47          0.011885
48          0.011885
49          0.011885
50          0.011885
51          0.011885
52          0.011885
53          0.011885
54          0.011885
55          0.011885
#Macrocell     #Rates [Hz]
1          21667332.000000
2          21667332.000000
3          21667666.000000
4          21667000.000000
5          21666666.000000
6          21667000.000000
7          21667666.000000
8          21666666.000000
9          21666666.000000
10          21666666.000000
11          21667332.000000
12          21667000.000000
13          21667000.000000
14          21666666.000000
15          21667000.000000
16          21666666.000000
17          32501000.000000
18          21666666.000000
19          21666666.000000
20          21667332.000000
21          21666666.000000
22          21666666.000000
23          21667000.000000
24          21667000.000000
25          21667666.000000
26          21667332.000000
27          21667000.000000
28          21667000.000000
29          21667666.000000
30          21666666.000000
31          21666666.000000
32          21667000.000000
33          21666666.000000
34          21666666.000000
35          21666666.000000
36          21667332.000000
37          21667332.000000
38          21667000.000000
39          21667332.000000
40          21666666.000000
41          21667000.000000
42          21667000.000000
43          21667000.000000
44          21667666.000000
45          21667332.000000
46          21666666.000000
47          21667332.000000
48          21667332.000000
49          21666666.000000
50          21668000.000000
51          21666666.000000
52          21667000.000000
53          21666666.000000
54          21667332.000000
55          21667000.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.014125
2          0.014125
3          0.014125
4          0.014125
5          0.014125
6          0.014125
7          0.014125
8          0.014125
9          0.014125
10          0.014125
11          0.014125
12          0.014125
13          0.014125
14          0.014125
15          0.014125
16          0.014125
17          0.014125
18          0.014125
19          0.014125
20          0.014125
21          0.014125
22          0.014125
23          0.014125
24          0.014125
25          0.014125
26          0.014125
27          0.014125
28          0.014125
29          0.014125
30          0.014125
31          0.014125
32          0.014125
33          0.014125
34          0.014125
35          0.014125
36          0.014125
37          0.014125
38          0.014125
39          0.014125
40          0.014125
41          0.014125
42          0.014125
43          0.014125
44          0.014125
45          0.014125
46          0.014125
47          0.014125
48          0.014125
49          0.014125
50          0.014125
51          0.014125
52          0.014125
53          0.014125
54          0.014125
55          0.014125
#Macrocell     #Rates [Hz]
1          32500500.000000
2          32500500.000000
3          32500000.000000
4          32500500.000000
5          32500000.000000
6          32500000.000000
7          32501000.000000
8          32500500.000000
9          32500000.000000
10          32500500.000000
11          32500000.000000
12          32500500.000000
13          32500000.000000
14          32501000.000000
15          32500500.000000
16          32500500.000000
17          32501000.000000
18          32500000.000000
19          32501500.000000
20          32500000.000000
21          32500500.000000
22          32500000.000000
23          32500000.000000
24          32500000.000000
25          32500500.000000
26          32501000.000000
27          32500500.000000
28          32500000.000000
29          32500000.000000
30          32500500.000000
31          32500000.000000
32          32500500.000000
33          32501000.000000
34          32501000.000000
35          32500500.000000
36          32500500.000000
37          32502500.000000
38          32500500.000000
39          32501500.000000
40          32500000.000000
41          32501500.000000
42          32501500.000000
43          32501500.000000
44          32500500.000000
45          32501000.000000
46          32501000.000000
47          32500500.000000
48          32500500.000000
49          32500000.000000
50          32500000.000000
51          32500500.000000
52          32500000.000000
53          32500500.000000
54          32501000.000000
55          32500000.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.016788
2          0.016788
3          0.016788
4          0.016788
5          0.016788
6          0.016788
7          0.016788
8          0.016788
9          0.016788
10          0.016788
11          0.016788
12          0.016788
13          0.016788
14          0.016788
15          0.016788
16          0.016788
17          0.016788
18          0.016788
19          0.016788
20          0.016788
21          0.016788
22          0.016788
23          0.016788
24          0.016788
25          0.016788
26          0.016788
27          0.016788
28          0.016788
29          0.016788
30          0.016788
31          0.016788
32          0.016788
33          0.016788
34          0.016788
35          0.016788
36          0.016788
37          0.016788
38          0.016788
39          0.016788
40          0.016788
41          0.016788
42          0.016788
43          0.016788
44          0.016788
45          0.016788
46          0.016788
47          0.016788
48          0.016788
49          0.016788
50          0.016788
51          0.016788
52          0.016788
53          0.016788
54          0.016788
55          0.016788
#Macrocell     #Rates [Hz]
1          32500000.000000
2          32500000.000000
3          32500500.000000
4          32500000.000000
5          32502000.000000
6          32500500.000000
7          21667332.000000
8          32500000.000000
9          32500000.000000
10          32500000.000000
11          32500000.000000
12          32502000.000000
13          32500000.000000
14          32500500.000000
15          32500000.000000
16          32500500.000000
17          32501500.000000
18          32501000.000000
19          32501000.000000
20          32500500.000000
21          32501500.000000
22          32501000.000000
23          32500000.000000
24          32500500.000000
25          32500500.000000
26          32501500.000000
27          32500000.000000
28          32500000.000000
29          32500500.000000
30          32502000.000000
31          32501500.000000
32          32500500.000000
33          32500500.000000
34          32501000.000000
35          32500000.000000
36          32501500.000000
37          32501000.000000
38          32500500.000000
39          32501000.000000
40          32501000.000000
41          32500000.000000
42          32501500.000000
43          32500500.000000
44          32501000.000000
45          0.000000
46          32500500.000000
47          32500000.000000
48          21666666.000000
49          21666666.000000
50          32501500.000000
51          32501000.000000
52          21666666.000000
53          32500000.000000
54          32500000.000000
55          21666666.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.019953
2          0.019953
3          0.019953
4          0.019953
5          0.019953
6          0.019953
7          0.019953
8          0.019953
9          0.019953
10          0.019953
11          0.019953
12          0.019953
13          0.019953
14          0.019953
15          0.019953
16          0.019953
17          0.019953
18          0.019953
19          0.019953
20          0.019953
21          0.019953
22          0.019953
23          0.019953
24          0.019953
25          0.019953
26          0.019953
27          0.019953
28          0.019953
29          0.019953
30          0.019953
31          0.019953
32          0.019953
33          0.019953
34          0.019953
35          0.019953
36          0.019953
37          0.019953
38          0.019953
39          0.019953
40          0.019953
41          0.019953
42          0.019953
43          0.019953
44          0.019953
45          0.019953
46          0.019953
47          0.019953
48          0.019953
49          0.019953
50          0.019953
51          0.019953
52          0.019953
53          0.019953
54          0.019953
55          0.019953
#Macrocell     #Rates [Hz]
1          21666666.000000
2          21666666.000000
3          32500000.000000
4          32501500.000000
5          32501000.000000
6          32500000.000000
7          21667666.000000
8          32502000.000000
9          32501000.000000
10          32500500.000000
11          32500500.000000
12          32501000.000000
13          32500500.000000
14          32501000.000000
15          32500500.000000
16          32501000.000000
17          32500000.000000
18          32500500.000000
19          32501000.000000
20          32500500.000000
21          32500000.000000
22          32501000.000000
23          32501500.000000
24          32500500.000000
25          32501000.000000
26          32501000.000000
27          32501000.000000
28          32500000.000000
29          32500500.000000
30          32501000.000000
31          32500000.000000
32          32500500.000000
33          32500000.000000
34          32500000.000000
35          32501000.000000
36          32501500.000000
37          32501000.000000
38          0.000000
39          32500000.000000
40          32500000.000000
41          32500500.000000
42          32500500.000000
43          32501000.000000
44          32500000.000000
45          32501000.000000
46          32500500.000000
47          32501000.000000
48          32500000.000000
49          32500000.000000
50          32500500.000000
51          32500000.000000
52          21667000.000000
53          32500500.000000
54          32500500.000000
55          32500000.000000
%56          0.000000
#Macrocell     #Rates [Hz]
1          2147483648.000000
2          2147483648.000000
3          32501000.000000
4          32501500.000000
5          32500000.000000
6          32500500.000000
7          32500500.000000
8          32501500.000000
9          32500000.000000
10          32500000.000000
11          32500500.000000
12          32501500.000000
13          32500000.000000
14          32501000.000000
15          32500000.000000
16          32501500.000000
17          32500500.000000
18          32500000.000000
19          32501000.000000
20          32501500.000000
21          32501000.000000
22          32501000.000000
23          32500000.000000
24          32500000.000000
25          32500000.000000
26          32500500.000000
27          32500000.000000
28          32501500.000000
29          32500000.000000
30          32501000.000000
31          32500500.000000
32          32500500.000000
33          32501000.000000
34          32501000.000000
35          32500000.000000
36          32500500.000000
37          32501000.000000
38          32500000.000000
39          32500500.000000
40          32500500.000000
41          32500500.000000
42          32500000.000000
43          32500500.000000
44          32500500.000000
45          32501000.000000
46          32501000.000000
47          32500000.000000
48          32500000.000000
49          32500000.000000
50          32500500.000000
