#Macrocell     #Threshold [V]
1          0.010000
2          0.010000
3          0.010000
4          0.010000
5          0.010000
6          0.010000
7          0.010000
8          0.010000
9          0.010000
10          0.010000
11          0.010000
12          0.010000
13          0.010000
14          0.010000
15          0.010000
16          0.010000
17          0.010000
18          0.010000
19          0.010000
20          0.010000
21          0.010000
22          0.010000
23          0.010000
24          0.010000
25          0.010000
26          0.010000
27          0.010000
28          0.010000
29          0.010000
30          0.010000
31          0.010000
32          0.010000
33          0.010000
34          0.010000
35          0.010000
36          0.010000
37          0.010000
38          0.010000
39          0.010000
40          0.010000
41          0.010000
42          0.010000
43          0.010000
44          0.010000
45          0.010000
46          0.010000
47          0.010000
48          0.010000
49          0.010000
50          0.010000
51          0.010000
52          0.010000
53          0.010000
54          0.010000
55          0.010000
#Macrocell     #Rates [Hz]
1          2826086.000000
2          2826086.000000
3          3611111.000000
4          13000000.000000
5          5909090.000000
6          7222222.000000
7          1065573.000000
8          16250250.000000
9          5909090.000000
10          13000000.000000
11          10833333.000000
12          9285714.000000
13          5909090.000000
14          10833500.000000
15          16250250.000000
16          13000000.000000
17          5416666.000000
18          7222333.000000
19          10833833.000000
20          13000000.000000
21          13000000.000000
22          8125000.000000
23          9285714.000000
24          10833500.000000
25          10833333.000000
26          16250250.000000
27          16250250.000000
28          13000000.000000
29          13000000.000000
30          10833333.000000
31          10833333.000000
32          16250000.000000
33          6500000.000000
34          13000000.000000
35          13000200.000000
36          13000400.000000
37          10833666.000000
38          8125125.000000
39          7222222.000000
40          6500000.000000
41          13000000.000000
42          6500000.000000
43          10833666.000000
44          10833500.000000
45          9285857.000000
46          6500100.000000
47          9285714.000000
48          9285857.000000
49          8125125.000000
50          6500000.000000
51          7222222.000000
52          3611166.000000
53          4062500.000000
54          6500000.000000
55          9285714.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.011885
2          0.011885
3          0.011885
4          0.011885
5          0.011885
6          0.011885
7          0.011885
8          0.011885
9          0.011885
10          0.011885
11          0.011885
12          0.011885
13          0.011885
14          0.011885
15          0.011885
16          0.011885
17          0.011885
18          0.011885
19          0.011885
20          0.011885
21          0.011885
22          0.011885
23          0.011885
24          0.011885
25          0.011885
26          0.011885
27          0.011885
28          0.011885
29          0.011885
30          0.011885
31          0.011885
32          0.011885
33          0.011885
34          0.011885
35          0.011885
36          0.011885
37          0.011885
38          0.011885
39          0.011885
40          0.011885
41          0.011885
42          0.011885
43          0.011885
44          0.011885
45          0.011885
46          0.011885
47          0.011885
48          0.011885
49          0.011885
50          0.011885
51          0.011885
52          0.011885
53          0.011885
54          0.011885
55          0.011885
#Macrocell     #Rates [Hz]
1          1805555.000000
2          1805555.000000
3          2321428.000000
4          13000000.000000
5          4333333.000000
6          5416666.000000
7          631077.000000
8          16250250.000000
9          4333333.000000
10          10833500.000000
11          8125000.000000
12          7222333.000000
13          4333333.000000
14          9285714.000000
15          16250500.000000
16          10833666.000000
17          3823529.000000
18          5909181.000000
19          8125000.000000
20          10833333.000000
21          10833333.000000
22          6500000.000000
23          7222222.000000
24          10833333.000000
25          9285857.000000
26          16250000.000000
27          16250000.000000
28          13000000.000000
29          13000200.000000
30          10833333.000000
31          9285857.000000
32          16250000.000000
33          5416666.000000
34          13000000.000000
35          13000000.000000
36          10833333.000000
37          10833333.000000
38          8125125.000000
39          5416666.000000
40          5416750.000000
41          10833500.000000
42          5000000.000000
43          9285714.000000
44          10833333.000000
45          8125000.000000
46          5000000.000000
47          9285714.000000
48          9286000.000000
49          8125125.000000
50          5000000.000000
51          6500100.000000
52          2600000.000000
53          2826130.000000
54          5416666.000000
55          8125000.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.014125
2          0.014125
3          0.014125
4          0.014125
5          0.014125
6          0.014125
7          0.014125
8          0.014125
9          0.014125
10          0.014125
11          0.014125
12          0.014125
13          0.014125
14          0.014125
15          0.014125
16          0.014125
17          0.014125
18          0.014125
19          0.014125
20          0.014125
21          0.014125
22          0.014125
23          0.014125
24          0.014125
25          0.014125
26          0.014125
27          0.014125
28          0.014125
29          0.014125
30          0.014125
31          0.014125
32          0.014125
33          0.014125
34          0.014125
35          0.014125
36          0.014125
37          0.014125
38          0.014125
39          0.014125
40          0.014125
41          0.014125
42          0.014125
43          0.014125
44          0.014125
45          0.014125
46          0.014125
47          0.014125
48          0.014125
49          0.014125
50          0.014125
51          0.014125
52          0.014125
53          0.014125
54          0.014125
55          0.014125
#Macrocell     #Rates [Hz]
1          1083333.000000
2          1083333.000000
3          1326530.000000
4          10833500.000000
5          3095238.000000
6          3823529.000000
7          460992.000000
8          13000400.000000
9          3095238.000000
10          10833333.000000
11          5909090.000000
12          5000000.000000
13          2954545.000000
14          6500000.000000
15          13000200.000000
16          9285714.000000
17          2600040.000000
18          5000000.000000
19          5909090.000000
20          10833333.000000
21          9285714.000000
22          5000076.000000
23          5909181.000000
24          9285857.000000
25          7222222.000000
26          13000200.000000
27          13000200.000000
28          13000000.000000
29          10833333.000000
30          9285714.000000
31          8125125.000000
32          16250750.000000
33          3823588.000000
34          10833500.000000
35          10833333.000000
36          10833666.000000
37          8125000.000000
38          5909090.000000
39          4062500.000000
40          3823529.000000
41          9285857.000000
42          3421052.000000
43          7222222.000000
44          8125000.000000
45          7222222.000000
46          3823529.000000
47          8125125.000000
48          8125000.000000
49          7222222.000000
50          4062500.000000
51          5416666.000000
52          1857142.000000
53          1857142.000000
54          4333400.000000
55          6500000.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.016788
2          0.016788
3          0.016788
4          0.016788
5          0.016788
6          0.016788
7          0.016788
8          0.016788
9          0.016788
10          0.016788
11          0.016788
12          0.016788
13          0.016788
14          0.016788
15          0.016788
16          0.016788
17          0.016788
18          0.016788
19          0.016788
20          0.016788
21          0.016788
22          0.016788
23          0.016788
24          0.016788
25          0.016788
26          0.016788
27          0.016788
28          0.016788
29          0.016788
30          0.016788
31          0.016788
32          0.016788
33          0.016788
34          0.016788
35          0.016788
36          0.016788
37          0.016788
38          0.016788
39          0.016788
40          0.016788
41          0.016788
42          0.016788
43          0.016788
44          0.016788
45          0.016788
46          0.016788
47          0.016788
48          0.016788
49          0.016788
50          0.016788
51          0.016788
52          0.016788
53          0.016788
54          0.016788
55          0.016788
#Macrocell     #Rates [Hz]
1          537190.000000
2          537190.000000
3          625000.000000
4          8125000.000000
5          1805555.000000
6          2321428.000000
7          190618.000000
8          13000000.000000
9          1805583.000000
10          9285714.000000
11          3823529.000000
12          2954545.000000
13          1666666.000000
14          3823529.000000
15          13000200.000000
16          6500000.000000
17          1444444.000000
18          3421052.000000
19          4062500.000000
20          9285714.000000
21          7222222.000000
22          3250000.000000
23          3611111.000000
24          8125000.000000
25          5909090.000000
26          13000000.000000
27          10833500.000000
28          13000400.000000
29          10833333.000000
30          9285714.000000
31          7222222.000000
32          16250000.000000
33          2407407.000000
34          9285714.000000
35          9285714.000000
36          9285857.000000
37          7222444.000000
38          5000000.000000
39          2826086.000000
40          2500000.000000
41          8125000.000000
42          1911764.000000
43          6500100.000000
44          6500000.000000
45          5909181.000000
46          2600000.000000
47          7222222.000000
48          7222333.000000
49          6500000.000000
50          0.000000
51          3823588.000000
52          1048387.000000
53          955882.000000
54          2954545.000000
55          5000000.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.019953
2          0.019953
3          0.019953
4          0.019953
5          0.019953
6          0.019953
7          0.019953
8          0.019953
9          0.019953
10          0.019953
11          0.019953
12          0.019953
13          0.019953
14          0.019953
15          0.019953
16          0.019953
17          0.019953
18          0.019953
19          0.019953
20          0.019953
21          0.019953
22          0.019953
23          0.019953
24          0.019953
25          0.019953
26          0.019953
27          0.019953
28          0.019953
29          0.019953
30          0.019953
31          0.019953
32          0.019953
33          0.019953
34          0.019953
35          0.019953
36          0.019953
37          0.019953
38          0.019953
39          0.019953
40          0.019953
41          0.019953
42          0.019953
43          0.019953
44          0.019953
45          0.019953
46          0.019953
47          0.019953
48          0.019953
49          0.019953
50          0.019953
51          0.019953
52          0.019953
53          0.019953
54          0.019953
55          0.019953
#Macrocell     #Rates [Hz]
1          205047.000000
2          205047.000000
3          235507.000000
4          5909090.000000
5          984848.000000
6          1300020.000000
7          90782.000000
8          9285714.000000
9          955882.000000
10          8125000.000000
11          2321428.000000
12          1666666.000000
13          915492.000000
14          1969696.000000
15          10833333.000000
16          3823529.000000
17          722222.000000
18          2241379.000000
19          0.000000
20          7222222.000000
21          5416750.000000
22          1911764.000000
23          2166666.000000
24          5909090.000000
25          4062500.000000
26          10833500.000000
27          7222222.000000
28          13000000.000000
29          9285714.000000
30          7222222.000000
31          5416666.000000
32          13000000.000000
33          1354166.000000
34          8125250.000000
35          7222222.000000
36          8125000.000000
37          5416750.000000
38          3095238.000000
39          1756756.000000
40          0.000000
41          5909090.000000
42          915492.000000
43          4333400.000000
44          4333333.000000
45          4062500.000000
46          1625000.000000
47          5416666.000000
48          5909272.000000
49          5000000.000000
50          1857142.000000
51          2708333.000000
52          541666.000000
53          377906.000000
54          1805555.000000
55          3421105.000000
%56          0.000000
#Macrocell     #Rates [Hz]
1          220338.000000
2          220338.000000
3          246212.000000
4          5416666.000000
5          855263.000000
6          1120689.000000
7          87601.000000
8          8125000.000000
9          792682.000000
10          7222222.000000
11          2031250.000000
12          1477272.000000
13          764705.000000
14          1756756.000000
15          9285714.000000
16          3421052.000000
17          631067.000000
18          2031250.000000
19          2031250.000000
20          6500000.000000
21          5000000.000000
22          1710526.000000
23          1969727.000000
24          5416750.000000
25          3611111.000000
26          9285857.000000
27          6500000.000000
28          10833500.000000
29          8125125.000000
30          7222222.000000
31          5000000.000000
32          10833333.000000
33          1181818.000000
34          7222333.000000
35          6500000.000000
36          7222444.000000
37          4642857.000000
38          3250000.000000
39          1547619.000000
40          1382978.000000
41          5416666.000000
42          783132.000000
43          4333400.000000
44          3823529.000000
45          3823529.000000
46          1511627.000000
47          5000000.000000
48          5416666.000000
49          4643000.000000
50          1666666.000000
51          2500000.000000
52          488721.000000
53          373563.000000
54          1666666.000000
