#Macrocell     #Rates [Hz]
1          0.000000
2          0.000000
3          32500000.000000
4          32501000.000000
5          32500000.000000
6          32500000.000000
7          21668000.000000
8          32500500.000000
9          32500500.000000
10          32501000.000000
11          32500000.000000
12          32500500.000000
13          32501500.000000
14          32501000.000000
15          32501000.000000
16          32501000.000000
17          32500500.000000
18          32500000.000000
19          32500000.000000
20          32501000.000000
21          32500500.000000
22          32500500.000000
23          32500000.000000
24          32500500.000000
25          32501000.000000
26          32501500.000000
27          32500500.000000
28          32500000.000000
29          32500000.000000
30          32500000.000000
31          32501500.000000
32          32501500.000000
33          32500500.000000
34          32500000.000000
35          32500500.000000
36          32501000.000000
37          32500500.000000
38          32500000.000000
39          32500000.000000
40          32501500.000000
41          32500000.000000
42          32500000.000000
43          32500000.000000
44          32500000.000000
45          32500500.000000
46          32501000.000000
47          32500000.000000
48          32500000.000000
49          21667000.000000
50          32500000.000000
51          32500500.000000
52          32501000.000000
53          32501500.000000
54          32501500.000000
55          32501000.000000
Total rate:          2141
#Macrocell     #Threshold [V]
1          0.019101
2          0.015019
3          0.021647
4          0.016874
5          0.017292
6          0.019031
7          0.019991
8          0.020220
9          0.023062
10          0.018790
11          0.017830
12          0.018004
13          0.016803
14          0.020637
15          0.018100
16          0.018441
17          0.017299
18          0.018934
19          0.024977
20          0.021345
21          0.019006
22          0.018148
23          0.020458
24          0.018870
25          0.018882
26          0.016994
27          0.019420
28          0.018818
29          0.021569
30          0.018823
31          0.019555
32          0.016611
33          0.023660
34          0.018200
35          0.025577
36          0.022966
37          0.018423
38          0.018933
39          0.018455
40          0.023803
41          0.017374
42          0.018745
43          0.019304
44          0.019015
45          0.018486
46          0.018160
47          0.018801
48          0.018952
49          0.022258
50          0.020352
51          0.016250
52          0.018358
53          0.018101
54          0.015772
55          0.018603
#Macrocell     #Rates [Hz]
1          21666666.000000
2          21666666.000000
3          21667332.000000
4          32500000.000000
5          32501000.000000
6          32501000.000000
7          21667332.000000
8          2147483648.000000
9          21666666.000000
10          32500500.000000
11          32500500.000000
12          2147483648.000000
13          32500500.000000
14          32501500.000000
15          32501000.000000
16          32500500.000000
17          32500000.000000
18          21667000.000000
19          32500000.000000
20          32501000.000000
21          32500000.000000
22          32501000.000000
23          32500500.000000
24          32500000.000000
25          32500500.000000
26          16384000.000000
27          32501500.000000
28          21666666.000000
29          32500000.000000
30          32500000.000000
31          21667332.000000
32          32501000.000000
33          21666666.000000
34          32501500.000000
35          32500500.000000
36          32502000.000000
37          32501000.000000
38          32500500.000000
39          21667000.000000
40          32500500.000000
41          32501500.000000
42          32502000.000000
43          21667000.000000
44          32501000.000000
45          21667332.000000
46          32500500.000000
47          21666666.000000
48          21666666.000000
49          21666666.000000
50          21667332.000000
51          21666666.000000
52          21666666.000000
53          21667666.000000
54          21667000.000000
55          21667332.000000
Total rate:          898
#Macrocell     #Threshold [V]
1          0.022702
2          0.017850
3          0.025727
4          0.020055
5          0.020552
6          0.022618
7          0.023759
8          0.024032
9          0.027410
10          0.022332
11          0.021191
12          0.021398
13          0.019971
14          0.024528
15          0.021512
16          0.021917
17          0.020560
18          0.022504
19          0.029685
20          0.025369
21          0.022589
22          0.021569
23          0.024315
24          0.022428
25          0.022442
26          0.020197
27          0.023080
28          0.022365
29          0.025634
30          0.022371
31          0.023242
32          0.019742
33          0.028120
34          0.021631
35          0.030398
36          0.027295
37          0.021896
38          0.022502
39          0.021934
40          0.028290
41          0.020649
42          0.022278
43          0.022942
44          0.022599
45          0.021970
46          0.021583
47          0.022345
48          0.022524
49          0.026454
50          0.024188
51          0.019314
52          0.021818
53          0.021513
54          0.018745
55          0.022109
#Macrocell     #Rates [Hz]
1          32500000.000000
2          32500000.000000
3          32500500.000000
4          32501000.000000
5          32500000.000000
6          32500500.000000
7          32500000.000000
8          32500000.000000
9          32500500.000000
10          32500000.000000
11          32500000.000000
12          32500000.000000
13          32500500.000000
14          32500500.000000
15          32500000.000000
16          32500000.000000
17          32501500.000000
18          32500500.000000
19          32501000.000000
20          32500500.000000
21          32500500.000000
22          32500500.000000
23          32501500.000000
24          32500500.000000
25          32501000.000000
26          32500000.000000
27          32500500.000000
28          32500000.000000
29          32500000.000000
30          32502000.000000
31          32500500.000000
32          32501500.000000
33          32500000.000000
34          32500000.000000
35          32501000.000000
36          32501500.000000
37          32500500.000000
38          2147483648.000000
39          32500000.000000
40          32501500.000000
41          32500500.000000
42          32501000.000000
43          32501000.000000
44          32500500.000000
45          32500500.000000
46          32501000.000000
47          32501000.000000
48          32500500.000000
49          32501000.000000
50          32501000.000000
51          32500500.000000
52          32500000.000000
53          32501000.000000
54          32500000.000000
55          32500500.000000
Total rate:          453
#Macrocell     #Threshold [V]
1          0.026981
2          0.021215
3          0.030577
4          0.023836
5          0.024426
6          0.026881
7          0.028238
8          0.028562
9          0.032576
10          0.026541
11          0.025186
12          0.025432
13          0.023735
14          0.029151
15          0.025567
16          0.026048
17          0.024436
18          0.026746
19          0.035280
20          0.030151
21          0.026847
22          0.025635
23          0.028898
24          0.026655
25          0.026672
26          0.024004
27          0.027431
28          0.026581
29          0.030466
30          0.026588
31          0.027623
32          0.023463
33          0.033421
34          0.025708
35          0.036128
36          0.032441
37          0.026023
38          0.026744
39          0.026068
40          0.033623
41          0.024541
42          0.026478
43          0.027267
44          0.026859
45          0.026112
46          0.025651
47          0.026558
48          0.026770
49          0.031440
50          0.028748
51          0.022954
52          0.025931
53          0.025568
54          0.022279
55          0.026277
#Macrocell     #Rates [Hz]
1          32501000.000000
2          32501000.000000
3          32500500.000000
4          32500000.000000
5          32501500.000000
6          32500500.000000
7          21667000.000000
8          32500500.000000
9          32501000.000000
10          32500000.000000
11          32500500.000000
12          32500500.000000
13          32500500.000000
14          32501000.000000
15          32500000.000000
16          32500000.000000
17          32501000.000000
18          32500000.000000
19          32500500.000000
20          32500000.000000
21          32501500.000000
22          32500000.000000
23          32500500.000000
24          32500500.000000
25          32501000.000000
26          32501000.000000
27          32500500.000000
28          32501000.000000
29          32500000.000000
30          32500500.000000
31          32500500.000000
32          32500500.000000
33          32500000.000000
34          32501000.000000
35          32500500.000000
36          32501500.000000
37          32500000.000000
38          32500000.000000
39          32501000.000000
40          32500000.000000
41          32500000.000000
42          32500500.000000
43          32501500.000000
44          32501000.000000
45          32500000.000000
46          32501000.000000
47          32500000.000000
48          32500500.000000
49          32501000.000000
50          32501000.000000
51          32501000.000000
52          32500000.000000
53          32500500.000000
54          32501000.000000
55          32500000.000000
Total rate:          317
#Macrocell     #Threshold [V]
1          0.032067
2          0.025214
3          0.036341
4          0.028329
5          0.029030
6          0.031948
7          0.033560
8          0.033946
9          0.038717
10          0.031544
11          0.029934
12          0.030226
13          0.028210
14          0.034646
15          0.030386
16          0.030958
17          0.029042
18          0.031787
19          0.041931
20          0.035835
21          0.031908
22          0.030468
23          0.034345
24          0.031680
25          0.031700
26          0.028529
27          0.032602
28          0.031591
29          0.036209
30          0.031600
31          0.032830
32          0.027886
33          0.039721
34          0.030555
35          0.042938
36          0.038556
37          0.030929
38          0.031785
39          0.030982
40          0.039961
41          0.029167
42          0.031469
43          0.032407
44          0.031922
45          0.031034
46          0.030486
47          0.031564
48          0.031817
49          0.037367
50          0.034167
51          0.027281
52          0.030819
53          0.030388
54          0.026478
55          0.031230
#Macrocell     #Rates [Hz]
1          21666666.000000
2          21666666.000000
3          32500500.000000
4          32500500.000000
5          32500000.000000
6          32500000.000000
7          21667000.000000
8          32500500.000000
9          32500000.000000
10          32500500.000000
11          32500000.000000
12          32500500.000000
13          32500500.000000
14          32500000.000000
15          32500000.000000
16          32500000.000000
17          32500000.000000
18          32500500.000000
19          32501000.000000
20          32500500.000000
21          0.000000
22          32502000.000000
23          32500500.000000
24          32501000.000000
25          32501000.000000
26          32500500.000000
27          32501000.000000
28          32500000.000000
29          32500000.000000
30          32500500.000000
31          32500500.000000
32          32500500.000000
33          32500000.000000
34          32500000.000000
35          32500500.000000
36          32501000.000000
37          32501000.000000
38          32500000.000000
39          32501000.000000
40          32500500.000000
41          32501000.000000
42          32500500.000000
43          32501500.000000
44          32500000.000000
45          32500000.000000
46          32500500.000000
47          32500000.000000
48          32501000.000000
49          32501000.000000
50          32500000.000000
51          32501000.000000
52          32501000.000000
53          32500000.000000
54          32500500.000000
55          32500000.000000
Total rate:          335
#Macrocell     #Rates [Hz]
1          16250250.000000
2          16250250.000000
3          21667332.000000
4          21667000.000000
5          21666666.000000
6          21667666.000000
7          16250250.000000
8          21666666.000000
9          21666666.000000
10          21666666.000000
11          21667332.000000
12          1365333.000000
13          21667000.000000
14          21666666.000000
15          21667000.000000
16          21667332.000000
17          21666666.000000
18          21666666.000000
19          21667000.000000
20          21666666.000000
21          21667332.000000
22          21667000.000000
23          21666666.000000
24          21667666.000000
25          21667000.000000
26          21667332.000000
27          21667666.000000
28          21667332.000000
29          21666666.000000
30          21667332.000000
31          21666666.000000
32          21667000.000000
33          21667332.000000
34          21667000.000000
35          21666666.000000
36          21667000.000000
37          21666666.000000
38          21666666.000000
39          21667332.000000
40          21667000.000000
41          21667332.000000
42          21667332.000000
43          21666666.000000
44          21666666.000000
45          21666666.000000
46          21666666.000000
47          21666666.000000
48          21666666.000000
49          21667000.000000
50          21667000.000000
51          21667000.000000
52          21667332.000000
53          21667332.000000
54          21667000.000000
55          21666666.000000
Total rate:          337
#Macrocell     #Threshold [V]
1          0.038112
2          0.029967
3          0.043191
4          0.033669
5          0.034502
6          0.037971
7          0.039887
8          0.040345
9          0.046015
10          0.037490
11          0.035576
12          0.035923
13          0.033527
14          0.041177
15          0.036114
16          0.036794
17          0.034517
18          0.037779
19          0.049835
20          0.042589
21          0.037923
22          0.036211
23          0.040820
24          0.037651
25          0.037675
26          0.033907
27          0.038747
28          0.037546
29          0.043035
30          0.037557
31          0.039018
32          0.033143
33          0.047209
34          0.036314
35          0.051032
36          0.045823
37          0.036759
38          0.037777
39          0.036823
40          0.047494
41          0.034665
42          0.037401
43          0.038516
44          0.037939
45          0.036884
46          0.036233
47          0.037513
48          0.037814
49          0.044410
50          0.040607
51          0.032424
52          0.036628
53          0.036116
54          0.031469
55          0.037117
#Macrocell     #Rates [Hz]
1          16250250.000000
2          16250250.000000
3          21667000.000000
4          32500000.000000
5          32501000.000000
6          32500500.000000
7          16250250.000000
8          32501500.000000
9          21666666.000000
10          32501000.000000
11          32500500.000000
12          32501000.000000
13          32500500.000000
14          32500500.000000
15          32500000.000000
16          32500000.000000
17          32500000.000000
18          32501000.000000
19          32500500.000000
20          32500500.000000
21          32501000.000000
22          32500000.000000
23          32500500.000000
24          32500000.000000
25          32500000.000000
26          32501000.000000
27          32500500.000000
28          21666666.000000
29          32500000.000000
30          32501500.000000
31          32500500.000000
32          32500500.000000
33          32502000.000000
34          32500000.000000
35          32500500.000000
36          32500000.000000
37          32501000.000000
38          32501000.000000
39          32501000.000000
40          32500000.000000
41          21667000.000000
42          32501000.000000
43          32500500.000000
44          32501000.000000
45          32500000.000000
46          32500000.000000
47          32500000.000000
48          32501000.000000
49          32500500.000000
50          21666666.000000
51          21666666.000000
52          21667000.000000
53          21667332.000000
54          32500000.000000
55          32501000.000000
Total rate:          794
#Macrocell     #Threshold [V]
1          0.045296
2          0.035616
3          0.051333
4          0.040016
5          0.041006
6          0.045128
7          0.047405
8          0.047950
9          0.054689
10          0.044557
11          0.042283
12          0.042695
13          0.039847
14          0.048939
15          0.042921
16          0.043730
17          0.041023
18          0.044901
19          0.059229
20          0.050618
21          0.045071
22          0.043037
23          0.048514
24          0.044749
25          0.044777
26          0.040298
27          0.046051
28          0.044624
29          0.051147
30          0.044636
31          0.046373
32          0.039391
33          0.056107
34          0.043159
35          0.060652
36          0.054461
37          0.043688
38          0.044898
39          0.043764
40          0.056446
41          0.041199
42          0.044451
43          0.045776
44          0.045091
45          0.043836
46          0.043063
47          0.044585
48          0.044942
49          0.052782
50          0.048262
51          0.038536
52          0.043533
53          0.042923
54          0.037402
55          0.044114
#Macrocell     #Rates [Hz]
1          13000200.000000
2          13000200.000000
3          21667000.000000
4          21667000.000000
5          21666666.000000
6          21667332.000000
7          13000400.000000
8          21666666.000000
9          16250000.000000
10          21666666.000000
11          21666666.000000
12          21667000.000000
13          21667666.000000
14          21666666.000000
15          21667666.000000
16          32500000.000000
17          21666666.000000
18          21667000.000000
19          21666666.000000
20          21667000.000000
21          21666666.000000
22          21666666.000000
23          21667000.000000
24          21668000.000000
25          21667666.000000
26          21667666.000000
27          21667000.000000
28          21667000.000000
29          21667666.000000
30          21667000.000000
31          21667000.000000
32          32501000.000000
33          21667332.000000
34          21667000.000000
35          21667332.000000
36          21666666.000000
37          21666666.000000
38          21667332.000000
39          21666666.000000
40          21667000.000000
41          16250000.000000
42          21666666.000000
43          21667000.000000
44          21667000.000000
45          21667332.000000
46          21667666.000000
47          21667666.000000
48          21667666.000000
49          21667000.000000
50          16250250.000000
51          21666666.000000
52          21666666.000000
53          21666666.000000
54          21666666.000000
55          21666666.000000
Total rate:          4442
#Macrocell     #Threshold [V]
1          0.053835
2          0.042329
3          0.061009
4          0.047559
5          0.048735
6          0.053635
7          0.056341
8          0.056989
9          0.064998
10          0.052957
11          0.050253
12          0.050743
13          0.047358
14          0.058164
15          0.051012
16          0.051973
17          0.048756
18          0.053364
19          0.070394
20          0.060159
21          0.053567
22          0.051149
23          0.057659
24          0.053184
25          0.053217
26          0.047894
27          0.054732
28          0.053035
29          0.060789
30          0.053050
31          0.055115
32          0.046816
33          0.066684
34          0.051295
35          0.072085
36          0.064727
37          0.051923
38          0.053361
39          0.052013
40          0.067086
41          0.048965
42          0.052830
43          0.054405
44          0.053591
45          0.052100
46          0.051181
47          0.052989
48          0.053414
49          0.062731
50          0.057359
51          0.045800
52          0.051739
53          0.051015
54          0.044452
55          0.052430
#Macrocell     #Rates [Hz]
1          8125000.000000
2          8125000.000000
3          13000200.000000
4          16250000.000000
5          16250250.000000
6          16250250.000000
7          8125000.000000
8          21667332.000000
9          10833500.000000
10          13000000.000000
11          16250250.000000
12          16250250.000000
13          16250000.000000
14          16250250.000000
15          16250500.000000
16          21666666.000000
17          16250750.000000
18          16250000.000000
19          16250750.000000
20          13000200.000000
21          16250000.000000
22          16250000.000000
23          16250000.000000
24          21667000.000000
25          16250000.000000
26          16250000.000000
27          16250250.000000
28          13000200.000000
29          21666666.000000
30          16250250.000000
31          21666666.000000
32          21667332.000000
33          16250000.000000
34          16250000.000000
35          2147483648.000000
36          16250750.000000
37          16250500.000000
38          16250000.000000
39          16250000.000000
40          16250000.000000
41          13000000.000000
42          16250250.000000
43          16250500.000000
44          16250000.000000
45          16250000.000000
46          16250250.000000
47          16250000.000000
48          21667332.000000
49          21666666.000000
50          13000000.000000
51          13000200.000000
52          13000200.000000
53          13000200.000000
54          16250000.000000
55          16250000.000000
Total rate:          37637
#Macrocell     #Threshold [V]
1          0.063983
2          0.050308
3          0.072510
4          0.056523
5          0.057922
6          0.063746
7          0.066962
8          0.067731
9          0.077251
10          0.062939
11          0.059726
