#Macrocell     #Threshold [V]
1          0.001000
2          0.001000
3          0.001000
4          0.001000
5          0.001000
6          0.001000
7          0.001000
8          0.001000
9          0.001000
10          0.001000
11          0.001000
12          0.001000
13          0.001000
14          0.001000
15          0.001000
16          0.001000
17          0.001000
18          0.001000
19          0.001000
20          0.001000
21          0.001000
22          0.001000
23          0.001000
24          0.001000
25          0.001000
26          0.001000
27          0.001000
28          0.001000
29          0.001000
30          0.001000
31          0.001000
32          0.001000
33          0.001000
34          0.001000
35          0.001000
36          0.001000
37          0.001000
38          0.001000
39          0.001000
40          0.001000
41          0.001000
42          0.001000
43          0.001000
44          0.001000
45          0.001000
46          0.001000
47          0.001000
48          0.001000
49          0.001000
50          0.001000
51          0.001000
52          0.001000
53          0.001000
54          0.001000
55          0.001000
#Macrocell     #Threshold [V]
1          0.002000
2          0.002000
3          0.002000
4          0.002000
5          0.002000
6          0.002000
7          0.002000
8          0.002000
9          0.002000
10          0.002000
11          0.002000
12          0.002000
13          0.002000
14          0.002000
15          0.002000
16          0.002000
17          0.002000
18          0.002000
19          0.002000
20          0.002000
21          0.002000
22          0.002000
23          0.002000
24          0.002000
25          0.002000
26          0.002000
27          0.002000
28          0.002000
29          0.002000
30          0.002000
31          0.002000
32          0.002000
33          0.002000
34          0.002000
35          0.002000
36          0.002000
37          0.002000
38          0.002000
39          0.002000
40          0.002000
41          0.002000
42          0.002000
43          0.002000
44          0.002000
45          0.002000
46          0.002000
47          0.002000
48          0.002000
49          0.002000
50          0.002000
51          0.002000
52          0.002000
53          0.002000
54          0.002000
55          0.002000
#Macrocell     #Threshold [V]
1          0.003000
2          0.003000
3          0.003000
4          0.003000
5          0.003000
6          0.003000
7          0.003000
8          0.003000
9          0.003000
10          0.003000
11          0.003000
12          0.003000
13          0.003000
14          0.003000
15          0.003000
16          0.003000
17          0.003000
18          0.003000
19          0.003000
20          0.003000
21          0.003000
22          0.003000
23          0.003000
24          0.003000
25          0.003000
26          0.003000
27          0.003000
28          0.003000
29          0.003000
30          0.003000
31          0.003000
32          0.003000
33          0.003000
34          0.003000
35          0.003000
36          0.003000
37          0.003000
38          0.003000
39          0.003000
40          0.003000
41          0.003000
42          0.003000
43          0.003000
44          0.003000
45          0.003000
46          0.003000
47          0.003000
48          0.003000
49          0.003000
50          0.003000
51          0.003000
52          0.003000
53          0.003000
54          0.003000
55          0.003000
#Macrocell     #Threshold [V]
1          0.004000
2          0.004000
3          0.004000
4          0.004000
5          0.004000
6          0.004000
7          0.004000
8          0.004000
9          0.004000
10          0.004000
11          0.004000
12          0.004000
13          0.004000
14          0.004000
15          0.004000
16          0.004000
17          0.004000
18          0.004000
19          0.004000
20          0.004000
21          0.004000
22          0.004000
23          0.004000
24          0.004000
25          0.004000
26          0.004000
27          0.004000
28          0.004000
29          0.004000
30          0.004000
31          0.004000
32          0.004000
33          0.004000
34          0.004000
35          0.004000
36          0.004000
37          0.004000
38          0.004000
39          0.004000
40          0.004000
41          0.004000
42          0.004000
43          0.004000
44          0.004000
45          0.004000
46          0.004000
47          0.004000
48          0.004000
49          0.004000
50          0.004000
51          0.004000
52          0.004000
53          0.004000
54          0.004000
55          0.004000
#Macrocell     #Threshold [V]
1          0.005000
2          0.005000
3          0.005000
4          0.005000
5          0.005000
6          0.005000
7          0.005000
8          0.005000
9          0.005000
10          0.005000
11          0.005000
12          0.005000
13          0.005000
14          0.005000
15          0.005000
16          0.005000
17          0.005000
18          0.005000
19          0.005000
20          0.005000
21          0.005000
22          0.005000
23          0.005000
24          0.005000
25          0.005000
26          0.005000
27          0.005000
28          0.005000
29          0.005000
30          0.005000
31          0.005000
32          0.005000
33          0.005000
34          0.005000
35          0.005000
36          0.005000
37          0.005000
38          0.005000
39          0.005000
40          0.005000
41          0.005000
42          0.005000
43          0.005000
44          0.005000
45          0.005000
46          0.005000
47          0.005000
48          0.005000
49          0.005000
50          0.005000
51          0.005000
52          0.005000
53          0.005000
54          0.005000
55          0.005000
#Macrocell     #Threshold [V]
1          0.006000
2          0.006000
3          0.006000
4          0.006000
5          0.006000
6          0.006000
7          0.006000
8          0.006000
9          0.006000
10          0.006000
11          0.006000
12          0.006000
13          0.006000
14          0.006000
15          0.006000
16          0.006000
17          0.006000
18          0.006000
19          0.006000
20          0.006000
21          0.006000
22          0.006000
23          0.006000
24          0.006000
25          0.006000
26          0.006000
27          0.006000
28          0.006000
29          0.006000
30          0.006000
31          0.006000
32          0.006000
33          0.006000
34          0.006000
35          0.006000
36          0.006000
37          0.006000
38          0.006000
39          0.006000
40          0.006000
41          0.006000
42          0.006000
43          0.006000
44          0.006000
45          0.006000
46          0.006000
47          0.006000
48          0.006000
49          0.006000
50          0.006000
51          0.006000
52          0.006000
53          0.006000
54          0.006000
55          0.006000
#Macrocell     #Threshold [V]
1          0.007000
2          0.007000
3          0.007000
4          0.007000
5          0.007000
6          0.007000
7          0.007000
8          0.007000
9          0.007000
10          0.007000
11          0.007000
12          0.007000
13          0.007000
14          0.007000
15          0.007000
16          0.007000
17          0.007000
18          0.007000
19          0.007000
20          0.007000
21          0.007000
22          0.007000
23          0.007000
24          0.007000
25          0.007000
26          0.007000
27          0.007000
28          0.007000
29          0.007000
30          0.007000
31          0.007000
32          0.007000
33          0.007000
34          0.007000
35          0.007000
36          0.007000
37          0.007000
38          0.007000
39          0.007000
40          0.007000
41          0.007000
42          0.007000
43          0.007000
44          0.007000
45          0.007000
46          0.007000
47          0.007000
48          0.007000
49          0.007000
50          0.007000
51          0.007000
52          0.007000
53          0.007000
54          0.007000
55          0.007000
#Macrocell     #Threshold [V]
1          0.008000
2          0.008000
3          0.008000
4          0.008000
5          0.008000
6          0.008000
7          0.008000
8          0.008000
9          0.008000
10          0.008000
11          0.008000
12          0.008000
13          0.008000
14          0.008000
15          0.008000
16          0.008000
17          0.008000
18          0.008000
19          0.008000
20          0.008000
21          0.008000
22          0.008000
23          0.008000
24          0.008000
25          0.008000
26          0.008000
27          0.008000
28          0.008000
29          0.008000
30          0.008000
31          0.008000
32          0.008000
33          0.008000
34          0.008000
35          0.008000
36          0.008000
37          0.008000
38          0.008000
39          0.008000
40          0.008000
41          0.008000
42          0.008000
43          0.008000
44          0.008000
45          0.008000
46          0.008000
47          0.008000
48          0.008000
49          0.008000
50          0.008000
51          0.008000
52          0.008000
53          0.008000
54          0.008000
55          0.008000
#Macrocell     #Threshold [V]
1          0.009000
2          0.009000
3          0.009000
4          0.009000
5          0.009000
6          0.009000
7          0.009000
8          0.009000
9          0.009000
10          0.009000
11          0.009000
12          0.009000
13          0.009000
14          0.009000
15          0.009000
16          0.009000
17          0.009000
